name,salary,experience,time,company,address,tags,hh_link,field
Экономист-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО АЛЬЯНС КРЕДИТ,Москва,[],https://odintsovo.hh.ru/vacancy/93589403,Analyst
Финансовый аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",LOGINOF,Липецк,[],https://odintsovo.hh.ru/vacancy/92135572,Finance Analyst
Бизнес Аналитик,120000 ₽ на руки,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",ООО Арута,Москва,"['Бизнес-анализ', 'Анализ данных', 'SQL', 'BI-платформа', 'Системный анализ']",https://odintsovo.hh.ru/vacancy/92746039,Business Analyst
Аналитик BI,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",АО Гринатом. Центр Разработки.,Москва,"['SQL', 'Arenadata', 'Fore', 'Postgres Pro', 'Greenplum', 'ClickHouse', 'NiFi', 'Форсайт', 'BI', 'Английский\xa0— B1 — Средний']",https://odintsovo.hh.ru/vacancy/93589805,Business Analyst
Бизнес-аналитик,50000 ₽ на руки,Требуемый опыт работы: не требуется,"Полная занятость, полный день",АКМЭ сервис,Санкт,"['Грамотная речь', 'Системное мышление', 'Офисные программы', 'Высшее образование', 'Ответственный подход к работе']",https://odintsovo.hh.ru/vacancy/91565025,Business Analyst
Аналитик данных / стажер,,Требуемый опыт работы: не требуется,"Стажировка, полный день",МТС Банк. Начало Карьеры,Москва,[],https://odintsovo.hh.ru/vacancy/93537503,Data Analyst
Аналитик (системный аналитик),60000 до 100000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Фродекс,Уфа,"['SQL', 'XML', 'Системная интеграция', 'Разработка технических заданий', 'JSON', 'Сбор и анализ информации']",https://odintsovo.hh.ru/vacancy/88717315,System Analyst
Редактор-аналитик,70000 ₽ на руки,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",ООО Форум недвижимости Движение,,[],https://odintsovo.hh.ru/vacancy/88238315,Analyst
Аналитик CRM,120000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Респект,Москва,"['Аналитические исследования', 'CRM', 'Аналитическое мышление', 'Анализ данных', 'Google Analytics', 'Яндекс.Метрика', 'Mindbox']",https://odintsovo.hh.ru/vacancy/93585652,Data Analyst
Экономист-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Бридж Групп,Москва,"['1С: Бухгалтерия', '1С:Бухгалтерия 8 КОРП', 'Бухгалтерский учет', 'Налоговая отчетность', 'Аналитика данных', 'MS Excel']",https://odintsovo.hh.ru/vacancy/93587683,Finance Analyst
