,field,salary,experience,company,address,tags,job type,job hours,sql,python,анализ данных,аналитическое мышление,postgresql,etl,ms excel,аналитика,power bi,работа с большим объемом информации,работа с базами данных,системный анализ,linux,clickhouse,bpmn,data analysis,английский язык,dwh,базы данных,бизнес-анализ,ml,big data,git,ms sql,uml,machine learning,spark,airflow,hadoop,docker,kafka,аналитические исследования,сбор и анализ информации,математическая статистика,английскийb1 — средний,разработка технических заданий,английскийb2 — средне-продвинутый,rest,kubernetes,ms powerpoint,анализ бизнес показателей,tableau,data science,pandas,oracle,pytorch,nlp,постановка задач разработчикам,atlassian jira,a/b тесты
14,Data Analyst,0.0,не требуется,ООО Алтайвита,Барнаул,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Data Analyst,113100.0,3–6 лет,ООО ВФМ Технолоджи,Москва,ms excel маркетинговый анализ sql анализ данных web аналитика анализ бизнес показателей аналитика аналитические исследования power bi,полная занятость,полный день,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Data Analyst,0.0,1–3 года,Hoff,Москва,sql ms excel,полная занятость,полный день,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Data Analyst,0.0,1–3 года,"билайн: ИТ, Data, Digital",Москва,sql ms excel анализ данных python data analysis,полная занятость,удаленная работа,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,System Analyst,120000.0,1–3 года,ООО Технология Карьеры,Владивосток,git sql javascript php docker,полная занятость,полный день,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Data Analyst,0.0,1–3 года,ООО АЛЬЯНС КРЕДИТ,Москва,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Data Analyst,0.0,1–3 года,LOGINOF,Липецк,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Business Analyst,120000.0,3–6 лет,ООО Арута,Москва,бизнес-анализ анализ данных sql bi-платформа системный анализ,полная занятость,полный день,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Data Analyst,0.0,3–6 лет,АО Гринатом. Центр Разработки.,Москва,sql arenadata fore postgres pro greenplum clickhouse nifi форсайт bi английский\xa0— b1 — средний,полная занятость,полный день,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Business Analyst,50000.0,не требуется,АКМЭ сервис,Санкт-Петербург,грамотная речь системное мышление офисные программы высшее образование ответственный подход к работе,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Data Analyst,0.0,не требуется,МТС Банк. Начало Карьеры,Москва,,стажировка,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,System Analyst,80000.0,1–3 года,ООО Фродекс,Уфа,sql xml системная интеграция разработка технических заданий json сбор и анализ информации,полная занятость,полный день,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Data Analyst,70000.0,3–6 лет,ООО Форум недвижимости Движение,,,полная занятость,удаленная работа,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Data Analyst,120000.0,1–3 года,Респект,Москва,аналитические исследования crm аналитическое мышление анализ данных google analytics яндекс.метрика mindbox,полная занятость,полный день,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Data Analyst,0.0,1–3 года,ООО Бридж Групп,Москва,1с: бухгалтерия 1с:бухгалтерия 8 корп бухгалтерский учет налоговая отчетность аналитика данных ms excel,полная занятость,полный день,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Data Analyst,0.0,1–3 года,Юнисервис Капитал,Новосибирск,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Data Analyst,0.0,не требуется,ООО НПК КАТАРСИС,Санкт-Петербург,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Data Analyst,0.0,1–3 года,ДОМСПб,Санкт-Петербург,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,System Analyst,0.0,3–6 лет,Северсталь. Управляющая компания,Москва,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,System Analyst,0.0,3–6 лет,билайн: Контактные центры,Москва,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Business Analyst,0.0,1–3 года,Alta Personnel,Москва,sql бизнес-анализ oracle postgres mysql power bi tableau excel python r,полная занятость,полный день,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
35,Business Analyst,0.0,3–6 лет,АО РАСЧЕТНЫЕ РЕШЕНИЯ,Москва,uml bpmn sql xml бизнес-анализ xsd xml/xslt soap rest,полная занятость,полный день,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Data Analyst,44599.7,1–3 года,LEOMAX,Пенза,vba анализ данных аналитическое мышление sql системный анализ ms excel ms outlook,полная занятость,сменный график,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
